account_id,name,industry,region,country,city,employees,annual_revenue,status,owner,website,created_at
1,Account 1,Logistics,Nord,DE,München,250,2088774,active,Anna,https://account1.example,2023-08-19
2,Account 2,Manufacturing,Nord,DE,Hamburg,25,6696538,active,Greta,https://account2.example,2024-08-28
3,Account 3,Logistics,West,DE,Köln,8,3042235,active,Jonas,https://account3.example,2023-06-12
4,Account 4,Manufacturing,Nord,DE,Stuttgart,8,2464937,active,Ben,https://account4.example,2024-10-02
5,Account 5,Software,Nord,DE,Köln,250,1003737,churn_risk,Hans,https://account5.example,2023-07-15
6,Account 6,Retail,Süd,DE,Köln,25,6714262,active,Anna,https://account6.example,2024-11-20
7,Account 7,Energy,Ost,DE,Leipzig,8,6395866,active,Felix,https://account7.example,2025-04-30
8,Account 8,Logistics,Ost,DE,Stuttgart,1200,1463214,active,Hans,https://account8.example,2024-04-11
9,Account 9,Energy,West,DE,Stuttgart,8,2531777,active,Anna,https://account9.example,2023-08-17
10,Account 10,Manufacturing,West,DE,Köln,1200,1869726,churn_risk,Ben,https://account10.example,2024-01-05
11,Account 11,Software,Nord,DE,Frankfurt,25,5289595,active,Greta,https://account11.example,2025-02-17
12,Account 12,Manufacturing,Ost,DE,Hamburg,25,1705253,active,Jonas,https://account12.example,2024-10-27
13,Account 13,Software,Nord,DE,Köln,8,256532,churn_risk,Elena,https://account13.example,2023-07-02
14,Account 14,Energy,Süd,DE,Frankfurt,8,2543557,churn_risk,Elena,https://account14.example,2023-03-08
15,Account 15,Healthcare,West,DE,Stuttgart,250,748735,active,Hans,https://account15.example,2023-11-04
16,Account 16,Logistics,Ost,DE,Köln,1200,7604111,churn_risk,Ben,https://account16.example,2023-11-22
17,Account 17,Software,Süd,DE,München,25,823777,churn_risk,Greta,https://account17.example,2024-10-28
18,Account 18,Software,Ost,DE,Hamburg,80,7768983,active,Elena,https://account18.example,2025-02-02
19,Account 19,Healthcare,West,DE,München,8,6083281,active,Ines,https://account19.example,2024-05-14
20,Account 20,Manufacturing,West,DE,Frankfurt,250,6004419,active,Hans,https://account20.example,2023-09-14
21,Account 21,Retail,Süd,DE,Stuttgart,80,4625594,active,Felix,https://account21.example,2023-11-30
22,Account 22,Logistics,Süd,DE,Hamburg,8,7874168,churn_risk,Greta,https://account22.example,2024-01-27
23,Account 23,Healthcare,Ost,DE,München,25,1511725,active,Anna,https://account23.example,2023-12-08
24,Account 24,Software,Nord,DE,Stuttgart,25,5298622,active,Clara,https://account24.example,2023-07-12
25,Account 25,Healthcare,Nord,DE,Hamburg,8,997038,churn_risk,Ines,https://account25.example,2024-05-28
26,Account 26,Manufacturing,West,DE,Berlin,25,2556548,active,Jonas,https://account26.example,2024-12-06
27,Account 27,Manufacturing,West,DE,Stuttgart,1200,2874175,active,Anna,https://account27.example,2023-02-05
28,Account 28,Retail,Nord,DE,München,8,1590958,active,Clara,https://account28.example,2024-07-29
29,Account 29,Manufacturing,Süd,DE,Berlin,80,7644972,churn_risk,Felix,https://account29.example,2023-09-12
30,Account 30,Healthcare,West,DE,München,80,2409286,churn_risk,Clara,https://account30.example,2024-11-06
31,Account 31,Retail,Ost,DE,München,80,3979659,churn_risk,Hans,https://account31.example,2023-10-17
32,Account 32,Software,Ost,DE,Berlin,250,4230766,churn_risk,Ben,https://account32.example,2025-04-01
33,Account 33,Energy,West,DE,Stuttgart,25,2311997,active,Hans,https://account33.example,2024-10-18
34,Account 34,Retail,West,DE,Hamburg,80,2087685,churn_risk,Greta,https://account34.example,2023-11-10
35,Account 35,Manufacturing,West,DE,Stuttgart,250,1016513,active,David,https://account35.example,2025-04-01
36,Account 36,Healthcare,West,DE,Hamburg,25,6688195,active,Felix,https://account36.example,2024-11-05
37,Account 37,Energy,West,DE,Berlin,250,245818,active,Elena,https://account37.example,2023-06-22
38,Account 38,Energy,Süd,DE,Frankfurt,1200,3056575,active,Felix,https://account38.example,2023-06-23
39,Account 39,Manufacturing,Ost,DE,Hamburg,8,2798838,churn_risk,Ben,https://account39.example,2023-06-16
40,Account 40,Logistics,West,DE,Hamburg,25,4652755,active,Felix,https://account40.example,2023-03-21
