id,customer_name,legal_form,region,country,city,postal_code,segment,industry,language,sales_rep_id,created_at,last_contact_at,is_active,credit_limit,employee_count,vat_id,email,phone
1,Main 001 GmbH,AG,West,DE,Hamburg,20017,midmarket,Manufacturing,en,3,2022-10-20,2023-01-16,true,150000,4,DE100000001,c1@example.com,+49-41-100001
2,Südhandel 002 GmbH,KG,Ost,DE,Köln,20034,midmarket,Energy,de,9,2023-12-28,2024-06-30,true,5000,12,DE100000002,c2@example.com,+49-42-100002
3,Hanse 003 GmbH,KG,Ost,DE,Berlin,20051,midmarket,Healthcare,de,4,2022-01-27,2022-03-01,true,150000,220,DE100000003,c3@example.com,+49-43-100003
4,Westlog 004 GmbH,KG,Süd,DE,Leipzig,20068,smb,Logistics,en,7,2022-03-17,2023-02-28,true,15000,220,DE100000004,c4@example.com,+49-44-100004
5,Rhein 005 GmbH,GmbH,West,DE,Frankfurt,20085,smb,Healthcare,de,3,2022-05-13,2022-10-15,true,50000,900,DE100000005,c5@example.com,+49-45-100005
6,Alpin 006 GmbH,AG,Nord,DE,Leipzig,20102,enterprise,Retail,de,11,2022-03-22,2023-01-30,true,500000,900,DE100000006,c6@example.com,+49-46-100006
7,Donau 007 GmbH,KG,Nord,DE,Frankfurt,20119,smb,Manufacturing,de,11,2023-11-06,2023-11-29,true,500000,35,DE100000007,c7@example.com,+49-47-100007
8,Main 008 GmbH,KG,West,DE,Leipzig,20136,enterprise,Logistics,de,8,2022-02-01,2023-01-17,true,150000,4,DE100000008,c8@example.com,+49-48-100008
9,Main 009 GmbH,AG,West,DE,Köln,20153,midmarket,Software,de,3,2023-05-11,2024-05-20,true,50000,80,DE100000009,c9@example.com,+49-49-100009
10,Hanse 010 GmbH,AG,Nord,DE,Berlin,20170,smb,Software,en,6,2022-04-19,2022-08-23,true,5000,35,DE100000010,dup-a@example.com,+49-50-100010
11,Hanse 011 GmbH,KG,Export,IT,Frankfurt,20187,midmarket,Logistics,fr,10,2022-06-13,2023-02-07,true,50000,80,DE100000011,dup-a@example.com,+49-51-100011
12,Ostbau 012 GmbH,KG,Nord,DE,Hamburg,20204,smb,Software,en,6,2022-09-04,2023-07-06,true,150000,35,DE100000012,c12@example.com,+49-52-100012
13,Hanse 013 GmbH,e.K.,Süd,DE,Köln,20221,smb,Logistics,de,2,2022-09-28,2023-07-16,true,50000,220,DE100000013,c13@example.com,+49-53-100013
