kd_nr,firmenname,branche,ort,vk_id,zahlziel,kreditlimit,angelegt
1,Südhandel AG 1,Retail,München,2,14T,20500,2023-03-04
2,Westlog AG 2,Software,Köln,3,60T,21000,2023-03-07
3,Ostbau AG 3,Logistics,Berlin,4,60T,21500,2023-03-10
4,Alpin AG 4,Healthcare,Stuttgart,5,60T,22000,2023-03-13
5,Hanse AG 5,Energy,Leipzig,6,30T,22500,2023-03-16
6,Rhein AG 6,Chemicals,Frankfurt,7,45T,23000,2023-03-19
7,Main AG 7,Manufacturing,Hamburg,8,45T,23500,2023-03-22
8,Elbe AG 8,Retail,München,9,14T,24000,2023-03-25
9,Donau AG 9,Software,Köln,10,45T,24500,2023-03-28
10,Nordwerk AG 10,Logistics,Berlin,,45T,25000,2023-03-31
11,Südhandel AG 11,Healthcare,Stuttgart,12,60T,25500,2023-04-03
12,Westlog AG 12,Energy,Leipzig,13,14T,26000,2023-04-06
13,Ostbau AG 13,Chemicals,Frankfurt,14,14T,26500,2023-04-09
14,Alpin AG 14,Manufacturing,Hamburg,15,60T,27000,2023-04-12
15,Hanse AG 15,Retail,München,16,14T,27500,2023-04-15
16,Rhein AG 16,Software,Köln,17,60T,28000,2023-04-18
17,Main AG 17,Logistics,Berlin,18,30T,28500,2023-04-21
18,Elbe AG 18,Healthcare,Stuttgart,1,14T,29000,2023-04-24
19,Donau AG 19,Energy,Leipzig,2,60T,29500,2023-04-27
20,Nordwerk AG 20,Chemicals,Frankfurt,3,14T,30000,2023-04-30
21,Südhandel AG 21,Manufacturing,Hamburg,4,14T,30500,2023-05-03
22,Westlog AG 22,Retail,München,5,60T,31000,2023-05-06
23,Ostbau AG 23,Software,Köln,6,14T,31500,2023-05-09
24,Alpin AG 24,Logistics,Berlin,7,45T,32000,2023-05-12
25,Hanse AG 25,Healthcare,Stuttgart,8,60T,32500,2023-05-15
26,Rhein AG 26,Energy,Leipzig,9,60T,33000,2023-05-18
27,Main AG 27,Chemicals,Frankfurt,10,60T,33500,2023-05-21
28,Elbe AG 28,Manufacturing,Hamburg,11,60T,34000,2023-05-24
29,Donau AG 29,Retail,München,12,60T,34500,2023-05-27
30,Nordwerk AG 30,Software,Köln,13,30T,35000,2023-05-30
31,Südhandel AG 31,Logistics,Berlin,14,45T,35500,2023-06-02
32,Westlog AG 32,Healthcare,Stuttgart,15,30T,36000,2023-06-05
33,Ostbau AG 33,Energy,Leipzig,16,60T,36500,2023-06-08
34,Alpin AG 34,Chemicals,Frankfurt,17,30T,37000,2023-06-11
35,Hanse AG 35,Manufacturing,Hamburg,18,60T,37500,2023-06-14
36,Rhein AG 36,Retail,München,1,14T,38000,2023-06-17
37,Main AG 37,Software,Köln,2,60T,38500,2023-06-20
38,Elbe AG 38,Logistics,Berlin,3,30T,39000,2023-06-23
39,Donau AG 39,Healthcare,Stuttgart,4,45T,39500,2023-06-26
40,Nordwerk AG 40,Energy,Leipzig,5,30T,40000,2023-06-29
41,Südhandel AG 41,Chemicals,Frankfurt,6,45T,40500,2023-07-02
42,Westlog AG 42,Manufacturing,Hamburg,7,60T,41000,2023-07-05
43,Ostbau AG 43,Retail,München,8,14T,41500,2023-07-08
44,Alpin AG 44,Software,Köln,9,14T,42000,2023-07-11
45,Hanse AG 45,Logistics,Berlin,10,45T,42500,2023-07-14
46,Rhein AG 46,Healthcare,Stuttgart,,60T,43000,2023-07-17
47,Main AG 47,Energy,Leipzig,12,30T,43500,2023-07-20
48,Elbe AG 48,Chemicals,Frankfurt,13,14T,44000,2023-07-23
49,Donau AG 49,Manufacturing,Hamburg,14,60T,44500,2023-07-26
50,Nordwerk AG 50,Retail,München,15,60T,45000,2023-07-29
51,Südhandel AG 51,Software,Köln,16,30T,45500,2023-08-01
52,Westlog AG 52,Logistics,Berlin,17,45T,46000,2023-08-04
53,Ostbau AG 53,Healthcare,Stuttgart,18,14T,46500,2023-08-07
54,Alpin AG 54,Energy,Leipzig,1,14T,47000,2023-08-10
55,Hanse AG 55,Chemicals,Frankfurt,2,45T,47500,2023-08-13
56,Rhein AG 56,Manufacturing,Hamburg,3,14T,48000,2023-08-16
57,Main AG 57,Retail,München,,45T,48500,2023-08-19
58,Elbe AG 58,Software,Köln,5,30T,49000,2023-08-22
59,Donau AG 59,Logistics,Berlin,6,60T,49500,2023-08-25
60,Nordwerk AG 60,Healthcare,Stuttgart,7,60T,50000,2023-08-28
61,Südhandel AG 61,Energy,Leipzig,8,60T,50500,2023-08-31
62,Westlog AG 62,Chemicals,Frankfurt,9,14T,51000,2023-09-03
63,Ostbau AG 63,Manufacturing,Hamburg,10,14T,51500,2023-09-06
64,Alpin AG 64,Retail,München,11,30T,52000,2023-09-09
65,Hanse AG 65,Software,Köln,12,60T,52500,2023-09-12
66,Rhein AG 66,Logistics,Berlin,13,45T,53000,2023-09-15
67,Main AG 67,Healthcare,Stuttgart,14,30T,53500,2023-09-18
68,Elbe AG 68,Energy,Leipzig,15,45T,54000,2023-09-21
69,Donau AG 69,Chemicals,Frankfurt,16,30T,54500,2023-09-24
70,Nordwerk AG 70,Manufacturing,Hamburg,17,30T,55000,2023-09-27
71,Südhandel AG 71,Retail,München,18,60T,55500,2023-09-30
72,Westlog AG 72,Software,Köln,1,60T,56000,2023-10-03
73,Ostbau AG 73,Logistics,Berlin,2,45T,56500,2023-10-06
74,Alpin AG 74,Healthcare,Stuttgart,3,30T,57000,2023-10-09
75,Hanse AG 75,Energy,Leipzig,,60T,57500,2023-10-12
76,Rhein AG 76,Chemicals,Frankfurt,5,45T,58000,2023-10-15
77,Main AG 77,Manufacturing,Hamburg,6,30T,58500,2023-10-18
78,Elbe AG 78,Retail,München,7,30T,59000,2023-10-21
79,Donau AG 79,Software,Köln,8,14T,59500,2023-10-24
80,Nordwerk AG 80,Logistics,Berlin,9,14T,60000,2023-10-27
81,Südhandel AG 81,Healthcare,Stuttgart,10,45T,60500,2023-10-30
82,Westlog AG 82,Energy,Leipzig,11,45T,61000,2023-11-02
83,Ostbau AG 83,Chemicals,Frankfurt,12,14T,61500,2023-11-05
84,Alpin AG 84,Manufacturing,Hamburg,13,14T,62000,2023-11-08
